Rang,Prénom,Total,Rank,Vorname,Anzahl,Posto,Nome,Totale
1,Leano,20,1,Leano,20,1,Leano,20
2,Mauro,13,2,Mauro,13,2,Mauro,13
3,Nino,12,3,Nino,12,3,Nino,12
4,Liam,11,4,Liam,11,4,Liam,11
5,Noah,10,5,Noah,10,5,Noah,10
5,Elias,10,5,Elias,10,5,Elias,10
5,Mattia,10,5,Mattia,10,5,Mattia,10
8,Luca,9,8,Luca,9,8,Luca,9
8,Enea,9,8,Enea,9,8,Enea,9
8,Laurin,9,8,Laurin,9,8,Laurin,9
11,Matteo,8,11,Matteo,8,11,Matteo,8
11,Lio,8,11,Lio,8,11,Lio,8
11,Livio,8,11,Livio,8,11,Livio,8
11,Fabio,8,11,Fabio,8,11,Fabio,8
11,Gian,8,11,Gian,8,11,Gian,8
16,Andri,7,16,Andri,7,16,Andri,7
17,Leo,6,17,Leo,6,17,Leo,6
17,Ben,6,17,Ben,6,17,Ben,6
17,Levi,6,17,Levi,6,17,Levi,6
17,Valentin,6,17,Valentin,6,17,Valentin,6
17,Valerio,6,17,Valerio,6,17,Valerio,6
17,Maurin,6,17,Maurin,6,17,Maurin,6
23,Leon,5,23,Leon,5,23,Leon,5
23,Theo,5,23,Theo,5,23,Theo,5
23,Lian,5,23,Lian,5,23,Lian,5
23,Oliver,5,23,Oliver,5,23,Oliver,5
23,Enzo,5,23,Enzo,5,23,Enzo,5
23,Robin,5,23,Robin,5,23,Robin,5
23,Lino,5,23,Lino,5,23,Lino,5
23,Jaro,5,23,Jaro,5,23,Jaro,5
31,Aaron,4,31,Aaron,4,31,Aaron,4
31,Nico,4,31,Nico,4,31,Nico,4
31,Leandro,4,31,Leandro,4,31,Leandro,4
31,Finn,4,31,Finn,4,31,Finn,4
31,Jonas,4,31,Jonas,4,31,Jonas,4
31,Loris,4,31,Loris,4,31,Loris,4
31,Aurelio,4,31,Aurelio,4,31,Aurelio,4
31,Ennio,4,31,Ennio,4,31,Ennio,4
31,Carlo,4,31,Carlo,4,31,Carlo,4
31,Lourenço,4,31,Lourenço,4,31,Lourenço,4
31,Matthias,4,31,Matthias,4,31,Matthias,4
31,Flurin,4,31,Flurin,4,31,Flurin,4
31,Nevin,4,31,Nevin,4,31,Nevin,4
44,Malik,3,44,Malik,3,44,Malik,3
44,Mateo,3,44,Mateo,3,44,Mateo,3
44,Diego,3,44,Diego,3,44,Diego,3
44,Julian,3,44,Julian,3,44,Julian,3
44,Noé,3,44,Noé,3,44,Noé,3
44,Emil,3,44,Emil,3,44,Emil,3
44,Nael,3,44,Nael,3,44,Nael,3
44,Lucas,3,44,Lucas,3,44,Lucas,3
44,Rafael,3,44,Rafael,3,44,Rafael,3
44,Alessio,3,44,Alessio,3,44,Alessio,3
44,Felix,3,44,Felix,3,44,Felix,3
44,Nelio,3,44,Nelio,3,44,Nelio,3
44,Nevio,3,44,Nevio,3,44,Nevio,3
44,Adrian,3,44,Adrian,3,44,Adrian,3
44,Andrin,3,44,Andrin,3,44,Andrin,3
44,Noel,3,44,Noel,3,44,Noel,3
44,Aron,3,44,Aron,3,44,Aron,3
44,Lars,3,44,Lars,3,44,Lars,3
44,Jan,3,44,Jan,3,44,Jan,3
44,Gino,3,44,Gino,3,44,Gino,3
44,Miro,3,44,Miro,3,44,Miro,3
44,Henri,3,44,Henri,3,44,Henri,3
44,Moritz,3,44,Moritz,3,44,Moritz,3
44,Nando,3,44,Nando,3,44,Nando,3
44,Eliano,3,44,Eliano,3,44,Eliano,3
44,Remo,3,44,Remo,3,44,Remo,3
44,Jano,3,44,Jano,3,44,Jano,3
44,Vicente,3,44,Vicente,3,44,Vicente,3
44,Marino,3,44,Marino,3,44,Marino,3
44,Amaro,3,44,Amaro,3,44,Amaro,3
44,Ludwig,3,44,Ludwig,3,44,Ludwig,3
44,Fadri,3,44,Fadri,3,44,Fadri,3
76,Gabriel,2,76,Gabriel,2,76,Gabriel,2
76,Leonardo,2,76,Leonardo,2,76,Leonardo,2
76,Elio,2,76,Elio,2,76,Elio,2
76,Luan,2,76,Luan,2,76,Luan,2
76,David,2,76,David,2,76,David,2
76,Adam,2,76,Adam,2,76,Adam,2
76,Levin,2,76,Levin,2,76,Levin,2
76,Rayan,2,76,Rayan,2,76,Rayan,2
76,Daniel,2,76,Daniel,2,76,Daniel,2
76,Emilio,2,76,Emilio,2,76,Emilio,2
76,Alexander,2,76,Alexander,2,76,Alexander,2
76,Henry,2,76,Henry,2,76,Henry,2
76,Lionel,2,76,Lionel,2,76,Lionel,2
76,Milan,2,76,Milan,2,76,Milan,2
76,Martin,2,76,Martin,2,76,Martin,2
76,Tiago,2,76,Tiago,2,76,Tiago,2
76,Ryan,2,76,Ryan,2,76,Ryan,2
76,Amir,2,76,Amir,2,76,Amir,2
76,Janis,2,76,Janis,2,76,Janis,2
76,Marco,2,76,Marco,2,76,Marco,2
76,Fynn,2,76,Fynn,2,76,Fynn,2
76,Alex,2,76,Alex,2,76,Alex,2
76,Damian,2,76,Damian,2,76,Damian,2
76,Alexandre,2,76,Alexandre,2,76,Alexandre,2
76,Mathias,2,76,Mathias,2,76,Mathias,2
