Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale
1,Müller,1279,1,Müller,1279,1,Müller,1279
2,Iten,1128,2,Iten,1128,2,Iten,1128
3,Meier,817,3,Meier,817,3,Meier,817
4,Hürlimann,741,4,Hürlimann,741,4,Hürlimann,741
5,Nussbaumer,657,5,Nussbaumer,657,5,Nussbaumer,657
6,Schmid,559,6,Schmid,559,6,Schmid,559
7,Weber,433,7,Weber,433,7,Weber,433
8,Arnold,402,8,Arnold,402,8,Arnold,402
9,Staub,388,9,Staub,388,9,Staub,388
10,Hegglin,375,10,Hegglin,375,10,Hegglin,375
11,Bucher,370,11,Bucher,370,11,Bucher,370
12,Rogenmoser,367,12,Rogenmoser,367,12,Rogenmoser,367
13,Steiner,355,13,Steiner,355,13,Steiner,355
14,Schuler,350,14,Schuler,350,14,Schuler,350
15,Huber,349,15,Huber,349,15,Huber,349
16,Elsener,348,16,Elsener,348,16,Elsener,348
17,Zimmermann,326,17,Zimmermann,326,17,Zimmermann,326
18,Suter,318,18,Suter,318,18,Suter,318
19,Zürcher,315,19,Zürcher,315,19,Zürcher,315
20,Keiser,297,20,Keiser,297,20,Keiser,297
21,Odermatt,288,21,Odermatt,288,21,Odermatt,288
22,Wyss,275,22,Wyss,275,22,Wyss,275
23,Weiss,273,23,Weiss,273,23,Weiss,273
24,Röllin,270,24,Röllin,270,24,Röllin,270
25,Baumann,267,25,Baumann,267,25,Baumann,267
26,Fischer,255,26,Fischer,255,26,Fischer,255
27,Baumgartner,252,27,Baumgartner,252,27,Baumgartner,252
28,Meyer,250,28,Meyer,250,28,Meyer,250
29,Andermatt,248,29,Andermatt,248,29,Andermatt,248
29,Keller,248,29,Keller,248,29,Keller,248
31,Henggeler,244,31,Henggeler,244,31,Henggeler,244
32,Merz,236,32,Merz,236,32,Merz,236
33,Betschart,235,33,Betschart,235,33,Betschart,235
33,Fuchs,235,33,Fuchs,235,33,Fuchs,235
35,Gisler,231,35,Gisler,231,35,Gisler,231
36,Ulrich,229,36,Ulrich,229,36,Ulrich,229
37,Christen,227,37,Christen,227,37,Christen,227
38,Stocker,224,38,Stocker,224,38,Stocker,224
39,Sidler,219,39,Sidler,219,39,Sidler,219
40,Frei,211,40,Frei,211,40,Frei,211
41,Schneider,204,41,Schneider,204,41,Schneider,204
42,Bachmann,201,42,Bachmann,201,42,Bachmann,201
43,Roth,200,43,Roth,200,43,Roth,200
44,Villiger,199,44,Villiger,199,44,Villiger,199
45,Kälin,189,45,Kälin,189,45,Kälin,189
46,Brunner,187,46,Brunner,187,46,Brunner,187
47,Kaufmann,186,47,Kaufmann,186,47,Kaufmann,186
48,Furrer,181,48,Furrer,181,48,Furrer,181
49,Hotz,177,49,Hotz,177,49,Hotz,177
50,Hess,174,50,Hess,174,50,Hess,174
51,Moser,165,51,Moser,165,51,Moser,165
52,Speck,163,52,Speck,163,52,Speck,163
53,Häusler,158,53,Häusler,158,53,Häusler,158
53,Portmann,158,53,Portmann,158,53,Portmann,158
55,Bühler,157,55,Bühler,157,55,Bühler,157
56,Studer,155,56,Studer,155,56,Studer,155
57,Koch,154,57,Koch,154,57,Koch,154
58,Rust,151,58,Rust,151,58,Rust,151
59,Bütler,150,59,Bütler,150,59,Bütler,150
59,Moos,150,59,Moos,150,59,Moos,150
59,Walker,150,59,Walker,150,59,Walker,150
62,Blattmann,149,62,Blattmann,149,62,Blattmann,149
63,Koller,144,63,Koller,144,63,Koller,144
63,Theiler,144,63,Theiler,144,63,Theiler,144
65,Hausheer,143,65,Hausheer,143,65,Hausheer,143
66,Landtwing,142,66,Landtwing,142,66,Landtwing,142
67,Widmer,140,67,Widmer,140,67,Widmer,140
68,Bieri,137,68,Bieri,137,68,Bieri,137
68,Niederberger,137,68,Niederberger,137,68,Niederberger,137
70,Knüsel,136,70,Knüsel,136,70,Knüsel,136
71,Limacher,131,71,Limacher,131,71,Limacher,131
72,Huwyler,129,72,Huwyler,129,72,Huwyler,129
72,Küng,129,72,Küng,129,72,Küng,129
72,Stadelmann,129,72,Stadelmann,129,72,Stadelmann,129
75,Schwerzmann,126,75,Schwerzmann,126,75,Schwerzmann,126
75,Wismer,126,75,Wismer,126,75,Wismer,126
77,Weibel,123,77,Weibel,123,77,Weibel,123
78,Zehnder,122,78,Zehnder,122,78,Zehnder,122
79,Frey,120,79,Frey,120,79,Frey,120
79,Reichmuth,120,79,Reichmuth,120,79,Reichmuth,120
81,Camenzind,118,81,Camenzind,118,81,Camenzind,118
81,Marty,118,81,Marty,118,81,Marty,118
83,Heinrich,116,83,Heinrich,116,83,Heinrich,116
84,Gasser,115,84,Gasser,115,84,Gasser,115
84,Schicker,115,84,Schicker,115,84,Schicker,115
86,Scherer,113,86,Scherer,113,86,Scherer,113
87,Kunz,111,87,Kunz,111,87,Kunz,111
87,Werder,111,87,Werder,111,87,Werder,111
89,Annen,110,89,Annen,110,89,Annen,110
89,Pfister,110,89,Pfister,110,89,Pfister,110
91,Stalder,108,91,Stalder,108,91,Stalder,108
92,Peter,107,92,Peter,107,92,Peter,107
93,Huwiler,106,93,Huwiler,106,93,Huwiler,106
93,Rüttimann,106,93,Rüttimann,106,93,Rüttimann,106
95,Aschwanden,102,95,Aschwanden,102,95,Aschwanden,102
95,Besmer,102,95,Besmer,102,95,Besmer,102
95,Gabriel,102,95,Gabriel,102,95,Gabriel,102
98,Erni,101,98,Erni,101,98,Erni,101
98,Haas,101,98,Haas,101,98,Haas,101
98,Langenegger,101,98,Langenegger,101,98,Langenegger,101
